Id,Icon,Name_DE,Name_EN,Name_PRT,Name_ESP,Calories_a_100g,Weight_per_piece,GroupId,Fat_a_100g,Saturated_fat_a_100g,Carbohydrates_a_100g,Sugar_a_100g,Salt_a_100g,Protein_a_100g,Fiber_a_100g,Name_ID,Name_NL,Name_SE,Name_DK,Name_NO,Name_MS,Genus_DE,Genus_EN,Genus_ESP,Genus_PRT,Genus_ID,Genus_MS,Genus_NL,Genus_SE,Genus_DK,Genus_NO,is_liquid,is_hard,is_soft,is_fat
93,🥩,Rinderhüfte,Sirloin,Alcatra,Cadera,130,200,1,4.50,1.90,0.00,0.00,0.05,21.50,0.00,Saus mustard,Runderlende,Rostas,Okseklump,Mørbrad av storfe,Pinggul lembu,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
94,🥩,Rinderwade,Beef Shank,Jarrete,Jarrete,105,0,1,2.50,0.00,0.00,0.00,0.10,22.10,0.00,Kecap,Runderschenkel,Oxlägg,Okseskank,Okseskan,Betis lembu,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
95,🥩,Rinderbrust,Brisket,Peito bovino,Pecho de ternera,270,0,1,22.00,9.00,0.00,0.00,0.15,18.00,0.00,Saus sambal,Runderborst,Oxbröst (bringa,Oksebryst,Oksebryst (bringevir),Daging brisket,M,-,F,M,-,-,DE,EN,ET,EN,0,1,0,0
96,NULL,Senf,Mustard,Mostarda,Mostaza,100,7,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Saus soya,Mosterd,Senap,Sennep,Sennep,Mustard,M,-,F,F,-,-,DE,EN,EN,EN,0,0,1,0
97,NULL,Ketchup,Ketchup,Ketchup,Ketchup,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Cuka,Ketchup,Ketchup,Ketchup,Ketchup,Sos tomato,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
98,🥓,Speck,Bacon,Bacon,Beicon,350,0,1,35.00,13.00,0.00,0.00,2.00,14.00,0.00,Jus lemon,Spek,Sidfläsk,Bacon,Bacon,Bacon (daging salai),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
99,🫘,Schwarze Bohnen,Black beans,Feijão preto,Frijoles negros,110,0,9,0.60,0.00,15.50,0.30,0.40,7.60,6.50,Lemon,Zwarte bonen,Svarta bönor,Sorte bønner,Svarte bønner,Kacang hitam,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
100,NULL,Lachsfilet,Salmon fillet,Filé de salmão,Filete de salmón,208,180,6,13.00,0.00,0.00,0.00,0.10,20.00,0.00,Jeruk,Zalmfilet,Laxfilé,Laksefilet,Laksefilet,Filet salmon,N,-,M,M,-,-,DE,EN,ET,ET,0,1,0,0
101,NULL,Dill (frisch),Fresh Dill,Endro fresco,Eneldo fresco,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Apel,Dille (vers),Dill (färsk,Dild (frisk),Dill (frisk),Daun dill (segar),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
102,NULL,Schweinefilet,Pork tenderloin,Lombinho de porco,Solomillo de cerdo,109,500,1,2.10,0.80,0.00,0.00,0.10,22.00,0.00,Pisang,Varkenshaas,Fläskfilé,Svinemørbrad,Indrefilet av svin,Filet babi,N,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
103,NULL,Schweinelachs,Pork Loin,Lombo de porco,Lomo de cerdo,145,0,1,6.50,2.40,0.00,0.00,0.10,21.50,0.00,Stroberi,Varkenslende,Ytterfilé av gris,Svinekam,Ytrefilet av svin,Daging loin babi,M,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
104,NULL,Schweinenacken,Pork Neck,Copa Lombo,"Aguja de cerdo ",250,0,1,20.00,7.00,0.00,0.00,0.10,17.00,0.00,Blueberry,Varkensnek,Fläskkarré,Nakkefilet,Svinekjøtt nakke,Leher babi,M,-,M,M,-,-,DE,EN,ET,EN,1,0,0,0
105,NULL,Schweineschulter,Pork Shoulder,Paleta,Paleta,190,0,1,15.00,0.00,0.00,0.00,0.10,19.00,0.00,Raspberry,Varkensschouder,Fläskbog,Svinebov,Svinebog,Bahu babi,M,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
106,NULL,Schweinebauch,Pork Belly,Barriga de porco,Barriga,518,0,1,53.00,19.00,0.00,0.00,0.10,9.00,0.00,Anggur,Varkensbuik,Sidfläsk,Stribet flæsk,Svinekjøtt ribbe,Perut babi,M,-,F,M,-,-,DE,EN,EN,EN,1,0,0,0
107,NULL,Schweine-Oberschale,Pork Topside,Chã de dentro,Tapa de cerdo,105,0,1,3.00,1.00,0.00,0.00,0.10,21.00,0.00,Mangga,Varkensbovenbil,Innanlår av gris,Inderlår af svin,Svinekjøtt indrelår,Paha atas babi,F,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
108,NULL,Schweinenuss,Knuckle,Alcatra,Babilla,107,0,1,2.00,0.80,0.00,0.00,0.10,22.00,0.00,Nanas,Varkensmuis,Fransyska av gris,Svineklump,Svineplomme,Bahagian 'knuckle' babi,M,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
109,NULL,Schweine-Unterschale,Silverside,Chã de fora,Contra,112,0,1,3.80,1.40,0.00,0.00,0.10,21.50,0.00,Alpukat,Varkensonderbil,Ytterlår av gris,Yderlår af svin,Ytterlår av svin,Paha bawah babi,F,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
110,NULL,Schweinshaxe,Pork Knuckle,Joelho de porco,Codillo de cerdo,210,0,1,18.00,3.00,0.00,0.00,0.10,19.00,0.00,Kelapa,Varkensschenkel,Fläsklägg,Svineskank,Svineknoke,Kaki babi,M,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
111,NULL,Schweinerippchen,Pork Ribs,Costelinha de porco,Costillas de cerdo,220,0,1,16.00,4.00,0.00,0.00,0.10,17.00,0.00,Susu kelapa,Varkensribbetjes,Tjocka revbensspjäll,Svinribben,Svinestek,Rusuk babi,M,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
112,NULL,Margarine,Margarine,Margarina,Margarina,72,5,7,80.00,30.00,0.50,0.00,0.20,0.20,0.00,Tepung kelapa,Margarine,Margarin,Margarine,Margarin,Marjerin,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,1
113,NULL,"Muskatnuss ",Nutmeg,Noz-moscada,Nuez moscada,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Biji chia,Muskaatnoot,Muskotnöt,Muskatnød,Muskatnøtt,Buah pala,M,-,F,F,-,-,DE,ET,EN,ET,0,1,0,0
114,🍅,Passierte Tomaten,Tomato purée,Polpa de tomate,Tomate triturado,25,0,2,0.10,0.00,4.50,4.50,0.05,0.40,0.00,Wijen,Gepureerde tomaten,Passerade tomater,Flåede tomater (passerede),Passerte tomater,Tomato hancur,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
115,NULL,Knollensellerie,Celeriac,Aipo rábano,Apio nabo,40,0,2,0.30,0.00,9.00,1.60,0.10,1.50,4.90,Biji rami,Knolselderij,Rotselleri,Knoldselleri,Selerirot,Akar saderi,M,-,M,M,-,-,DE,EN,EN,ET,0,1,0,0
116,🫘,Linsen,Lentils,Lentilhas,Lentejas,350,0,9,1.50,0.00,60.00,2.00,0.01,24.00,17.00,Kacang almond,Linzen,Linser,Linser,Linser,Lentil,PL,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
117,NULL,Gemüsebrühe,Vegetable Broth,Caldo de legumes,Caldo de verduras,10,0,7,0.10,0.00,0.50,0.00,0.80,0.50,0.00,Kacang hazelnut,Groentebouillon,Grönsaksbuljong,Grøntsagsbouillon,Grønnsaksbuljong,Stok sayuran,F,-,F,PL,-,-,DE,EN,EN,EN,1,0,0,0
118,🫛,Erbsen,Peas,Ervilhas,Guisantes,80,0,9,0.50,0.00,12.00,3.50,0.01,7.00,5.00,Kacang walnut,Erwten,Ärtor,Ærter,Erter,Kacang pis,M,-,PL,F,-,-,PL,EN,EN,EN,0,1,0,0
119,NULL,Rosmarin (frisch),Fresh Rosemary,Alecrim fresco,Romero fresco,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kacang mete,Rozemarijn (vers),Rosmarin (färsk,Rosmarin (frisk),Rosmarin (frisk),Rosmeri (segar),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
120,NULL,Rosmarin (getrocknet),Dried Rosemary,Alecrim seco,Romero seco,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kacang pistachio,Rozemarijn (gedroogd),Rosmarin (torkad,Rosmarin (tørret),Rosmarin (tørket),Rosmeri (kering),M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
121,NULL,Seidentofu,Silken Tofu,Tofu sedoso,Tofu sedoso,60,0,7,3.00,0.50,2.00,0.00,0.02,5.00,0.00,Kacang Brazil,Zijdetofu,Silkestofu,Silketofu,Silketofu,Tahu lembut,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
122,NULL,Kichererbsenmehl,Chickpea flour,Farinha de grão-de-bico,Harina de garbanzo,380,0,8,6.00,0.00,50.00,0.00,0.01,22.00,13.00,Biji bunga matahari,Kikkererwtenmeel,Kikärtsmjöl,Kikærtemel,Kikertmel,Tepung kacang kuda,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
123,🍆,Aubergine,Aubergine,Berinjela,Berenjena,25,300,2,0.20,0.00,6.00,2.50,0.00,1.00,3.00,Biji labu,Aubergine,Aubergine,Aubergine,Aubergine,Terung,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
124,🍄‍🟫,Champignons,Mushrooms,Cogumelos,Champiñones,22,0,2,0.20,0.00,3.00,0.00,0.01,3.10,2.00,Biji poppy,Champignons,Champinjoner,Champignoner,Sjampinjong,Cendawan butang,M,-,PL,M,-,-,DE,EN,EN,EN,0,1,0,0
125,🌽,Mais,Corn,Milho,Maíz,90,0,2,1.20,0.00,16.00,3.00,0.01,3.00,3.00,Air,Maïs,Majs,Majs,Mais,Jagung,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
126,🥬,Blattspinat,Leaf Spinach,Espinafre,Espinacas,23,0,2,0.40,0.00,3.60,0.00,0.01,2.90,2.20,Kaldu sayur,Bladspinazie,Bladspenat,Bladspinat,Bladspinat,Bayam,M,-,F,M,-,-,DE,ET,ET,ET,0,1,0,0
127,🫘,Grüne Bohnen,Green Beans,Vagem,Judías verdes,35,0,9,0.20,0.00,5.00,2.00,0.01,2.00,4.00,Kaldu ayam,Sperziebonen,Gröna bönor,Grønne bønner,Grønne bønner,Kacang buncis,PL,-,PL,M,-,-,PL,EN,EN,EN,0,1,0,0
128,🍎,Apfelmus,Apple Sauce,Purê de maçã,Puré de manzana,80,0,4,0.10,0.00,20.00,18.00,0.01,0.20,2.00,Kaldu sapi,Appelmoes,Äppelmos,Æblemos,Eplemos,Sos epal,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
129,🍓,Erdbeeren,Strawberries,Morangos,Fresas,32,0,4,0.50,0.00,5.50,5.00,0.01,0.80,2.00,Anggur merah,Aardbeien,Jordgubbar,Jordbær,Jordbær,Strawberi,PL,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
130,NULL,Agar-Agar,Agar-Agar,Ágar-ágar,Agar-Agar,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anggur putih,Agaragar,Agar-agar,Agar-agar,Agar-agar,Agar-agar,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
131,🥭,Mango,Mango,Manga,Mango,60,400,4,0.60,0.00,15.00,14.00,0.01,0.80,1.60,Bir,Mango,Mango,Mango,Mango,Mangga,M,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
132,NULL,Kardamom,Cardamom,Cardamomo,Cardamomo,300,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Rum,Kardemom,Kardemumma,Kardemomme,Kardemomme,Buah pelaga,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
133,🥥,Kokosraspeln,Desiccated Coconut,Coco ralado,Coco rallado,660,0,4,65.00,57.00,7.00,7.00,0.01,7.00,16.00,Whisky,Kokosrasp,Kokosflingor,Kokosmel,Kokosmasse,Kelapa parut,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
134,NULL,Speisestärke,Cornflour,Amido de milho,Almidón de maíz,350,4,7,0.10,0.00,87.00,0.00,0.01,0.30,0.00,Vodka,Maïzena,Maizstärkelse,Majsstivelse,Maisstivelse,Kanji makanan,F,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
135,🍙,Arborio-Reis,Arborio rice,Arroz para risoto,Arroz para risotto,350,0,8,0.60,0.20,79.00,0.20,0.01,7.00,1.50,Gin,Arborio rijst,Arborioris,Arborio ris,Arborioris,Beras Arborio,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
136,🫒,Oliven (schwarz),Black olives,Azeitonas pretas,Aceitunas negras,130,0,2,13.50,2.20,0.50,0.00,1.50,0.50,3.00,Kopi,Olijven (zwart),Oliver (svarta,Oliven (sorte),Oliven (svarte),Zaitun (hitam),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
137,🫒,Oliven (grün),Green olives,Azeitonas verdes,Aceitunas verdes,145,4,2,15.30,2.00,0.50,0.00,3.50,1.00,3.00,Teh,Olijven (groen),Oliver (gröna,Oliven (grønne),Oliven (grønne),Zaitun (hijau),M,-,PL,PL,-,-,DE,EN,EN,EN,0,1,0,0
138,NULL,Kapern,Capers,Alcaparras,Alcaparras,23,5,2,0.90,0.20,2.00,0.00,6.50,2.00,3.00,Teh hijau,Kappertjes,Kapris,Kapers,Kapers,Kaper,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
139,NULL,Pinienkerne,Pine nuts,Pinhões,Pinhões,673,4,7,68.40,2.90,13.10,3.60,0.01,13.70,3.70,Teh hitam,Pijnboompitten,Pinjenötter,Pinjekerner,Pinjekjerner,Kacang pain,PL,-,PL,PL,-,-,PL,EN,EN,EN,0,1,0,0
140,NULL,Polenta,Polenta,Polenta,Polenta,345,0,8,1.10,0.20,74.00,0.70,0.01,8.50,4.00,Teh herbal,Polenta,Polenta,Polenta,Polenta,Polenta,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
141,NULL,Quinoa,Quinoa,Quinoa,Quinoa,264,0,8,6.10,0.70,64.20,2.50,0.01,14.10,7.00,Susu mentega,Quinoa,Quinoa,Quinoa,Quinoa,Quinoa,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
142,NULL,Tortillas,Wheat Tortillas,Tortilhas de trigo,Tortillas de trigo,310,60,7,7.00,1.50,53.00,2.50,1.20,9.00,2.50,Kalkun,Tortilla's,Tortillas,Tortillaer,Tortillas,Tortilla,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
143,NULL,Rote Rübe,Beetroot,Beterraba,Remolacha,43,0,2,0.20,0.10,9.60,6.80,0.10,1.60,2.80,Dada kalkun,Rode biet,Rödbeta,Rødbede,Rødbete,Bit merah,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
144,🥬,Rucola,Rocket,Rúcula,Rúcula,25,0,2,0.70,0.10,3.70,2.10,0.05,2.60,1.60,Bebek,Rucola,Ruccola,Rucola,Ruccola,Rukola,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
145,🥦,Blumenkohl,Cauliflower,Couve-flor,Coliflor,25,900,2,0.30,0.10,2.50,2.30,0.03,2.50,2.90,Angsa,Bloemkool,Blomkål,Blomkål,Blomkål,Kobis bunga,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
146,NULL,Kürbiskerne,Pumpkin seeds,Sementes de abóbora,Pipas de calabaza,575,0,7,49.00,8.60,10.70,1.40,0.02,30.00,6.00,Domba,Pompoenpitten,Pumpakärnor,Græskarkerner,Gresskarkjerner,Biji labu,PL,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
147,NULL,Walnusskerne,Walnuts,Nozes,Nueces,654,0,2,65.20,6.10,13.70,2.60,0.02,15.20,6.70,Iga domba,Walnoten,Valnötter,Valnødder,Valnøtter,Kacang walnut,PL,-,PL,PL,-,-,PL,EN,EN,EN,0,1,0,0
148,🫐,Blaubeeren,Blueberries,Mirtilos,Arándanos,57,0,4,0.30,0.10,14.50,10.00,0.01,0.70,2.40,Daging rusa,Blauwe bessen,Blåbär,Blåbær,Blåbær,Bluberi,PL,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
149,NULL,Lauch,Leek,Alho-francês,Puerro,31,250,2,0.30,0.10,3.90,2.20,0.01,1.60,2.70,Kelinci,Prei,Purjolök,Porre,Purre,Bawang perai,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
150,🫘,Kidneybohnen,Kidney beans,Feijão vermelho,Alubias rojas,110,0,9,0.60,0.10,15.00,0.80,0.60,7.50,6.50,Kanguru,Kidneybonen,Kidneybönor,Kidneybønner,Kidneybønner,Kacang merah,PL,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
151,NULL,Couscous,Couscous,Cuscuz,Cuscús,355,0,8,1.80,0.30,72.00,2.50,0.01,12.50,4.50,Gandum,Couscous,Couscous,Couscous,Couscous,Kuskus,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
152,🌶️,Chilipulver,Chili powder,Chili em pó,Chile en polvo,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tepung gandum,Chilipoeder,Chilipulver,Chilipulver,Chilipulver,Serbuk cili,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
153,NULL,Bulgur,Bulgur wheat,Bulgur,Bulgur,345,0,8,1.50,0.30,65.00,0.80,0.02,12.00,9.00,Tepung spelt,Bulgur,Bulgur,Bulgur,Bulgur,Bulgur,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
154,NULL,Tofu,Tofu,Tofu,Tofu,130,0,8,8.00,1.20,1.00,0.50,0.02,13.00,1.00,Tepung rye,Tofu,Tofu,Tofu,Tofu,Tahu,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
155,🍠,Süßkartoffeln,Sweet potato,Batata-doce,Batata,86,250,2,0.10,0.10,20.00,4.20,0.14,1.60,3.00,Tepung oat,Zoete aardappelen,Sötpotatis,Søde kartofler,Søtpoteter,Ubi keledek,F,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
156,NULL,Kohlrabi,Kohlrabi,Couve-rábano,Colinabo,27,150,2,0.10,0.10,6.20,2.60,0.05,1.70,3.60,Oat,Koolrabi,Kålrabbi,Glaskål,Kålrot,Kohlrabi,M,-,M,M,-,-,DE,EN,EN,ET,0,1,0,0
157,NULL,Seitan,Seitan,Seitan,Seitán,148,0,7,1.90,0.30,2.50,0.20,1.50,28.00,0.60,Cornflakes,Seitan,Seitan,Seitan,Seitan,Seitan,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
158,NULL,"Hafermilch ",Oat-Milk,Leite de aveia,Leche de avena,45,0,7,1.50,0.20,6.50,3.50,0.10,1.00,0.80,Muesli,Havermelk,Havremjölk,Havremælk,Havremelk,Susu oat,F,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
159,NULL,Balsamico-Essig,Balsamic vinegar,Vinagre balsâmico,Vinagre balsámico,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sereal,Balsamicoazijn,Balsamvinäger,Balsamicoeddike,Balsamicoeddik,Cuka Balsamik,M,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
160,NULL,Dunkelbier,Dark beer,Cerveja preta,Cerveza negra,42,0,7,0.00,0.00,3.50,0.20,0.01,0.50,0.00,Granola,Donker bier,Mörkt öl,Mørkt øl,Mørkt øl,Bir gelap,N,-,F,F,-,-,DE,EN,EN,EN,1,0,0,0
161,NULL,Rinderbrühe,Beef broth,Caldo de carne,Caldo de carne,12,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kacang tanah,Runderbouillon,Köttbuljong,Oksebouillon,Kjøttbuljong,Stok daging,F,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
162,NULL,Spätzle,Spaetzle,Massa de ovo alemã,Pasta al huevo alemana,365,0,8,3.50,1.00,69.00,3.00,0.10,13.00,3.50,Selai kacang,Spätzle,Spätzle,Spätzle,Spätzle,Spätzle,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
163,NULL,Taco-Schalen,Taco shells,Conchas para tacos,Conchas para tacos,475,13,7,22.00,2.00,61.00,1.00,0.80,6.50,5.00,Selai,Tacohulpen,Tacoskal,Tacoskaller,Tacoskjell,Kulit taco,M,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
164,NULL,Blätterteig,Puff pastry,Massa folhada,Hojaldre,290,275,7,24.00,12.50,36.00,2.00,0.60,5.50,1.50,Selai stroberi,Bladerdeeg,Smördeg,Butterdej,Butterdeig,Pastri lapis (Puff pastry),M,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
165,🍎,Apfelsaft,Apple juice,Sumo de maçã,Zumo de manzana,46,0,7,0.10,0.10,11.00,10.50,0.10,0.10,0.20,Selai aprikot,Appelsap,Äppeljuice,Æblemost,Eplejuice,Jus epal,M,-,F,M,-,-,DE,EN,ET,EN,1,0,0,0
166,NULL,Rotkohl,Red cabbage,Repolho roxo,Lombarda,31,800,2,0.10,0.00,7.00,3.80,0.05,1.50,2.50,Aprikot,Rode kool,Rödkål,Rødkål,Rødkål,Kobis merah,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
167,NULL,Kochschinken,Cooked ham,Fiambre,Jamón cocido,110,0,1,3.30,1.30,1.00,1.00,2.20,19.00,0.00,Pir,Gekookte ham,Kokt skinka,Kogt skinke,Kokt skinke,Ham masak,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
168,NULL,Putenschinken,Turkey ham,Fiambre de peru,Jamón de pavo,105,0,1,1.50,0.50,1.00,1.00,2.20,22.00,0.00,Plum,Kalkoenham,Kalkonskinka,Kalkunskinke,Kalkunskinke,Ham ayam belanda,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
169,NULL,Pflaumen,Plums,Ameixas,Ciruelas,46,60,2,0.30,0.10,11.40,10.20,0.01,0.60,1.60,Kiwi,Pruimen,Plommon,Blommer,Plommer,Buah plum,M,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
170,🍫,Kochschokolade,Cooking chocolate,Chocolate de culinária,Chocolate para postres,520,0,7,31.00,19.00,54.00,51.00,0.01,5.50,7.00,Delima,Kookchocolade,Blockchoklad,Kogechokolade,Kokesjokolade,Coklat masakan,F,-,PL,F,-,-,DE,EN,EN,EN,0,1,0,0
171,🍫,Vollmilchschokolade,Milk chocolate,Chocolate de leite,Chocolate con leche,540,0,7,31.50,19.50,56.00,55.00,0.25,7.00,1.80,Kurma,Melkchocolade,Mjölkchoklad,Mælkechokolade,Melkesjokolade,Coklat susu,F,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
172,🍫,Schokoladenkuvertüre (Zartbitter),Couverture chocolate,Chocolate de cobertura,Chocolate de cobertura,560,0,7,37.00,23.00,47.00,44.00,0.02,6.00,8.00,Kismis,Pure chocolade couverture,Mörk chokladkuvertyr,Mørk chokoladeovertræk,Mørk kokesjokolade,Coklat couverture (pahit),M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
173,🍾,Rum,Rum,Rum,Rom,225,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Buah ara,Rum,Rom,Rom,Rom,Rum,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
174,NULL,Weißkohl,White cabbage,Repolho,Repollo,25,900,2,0.10,0.10,6.00,4.00,0.02,1.30,2.50,Biji delima,Witte kool,Vitkål,Hvidkål,Hvitkål,Kobis putih,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
175,NULL,Thunfischkonserve im eigenen Saft,Tuna (canned in water),Atum (ao natural),Atún (al natural),112,0,6,1.00,0.30,0.00,0.00,1.00,25.50,0.00,Beras basmati,Tonijn uit blik in eigen nat,Tonfisk i vatten,Tun i vand (dåse),Tunfisk i vann,Tuna dalam tin (dalam air),M,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
176,NULL,Hefe,Yeast,Levedura,Levadura,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Beras jasmin,Gist,Jäst,Gær,Gjær,Yis,F,-,F,F,-,-,DE,ET,EN,EN,0,1,0,0
177,NULL,Mandeln,Almonds,Amêndoas,Almendras,579,0,7,50.00,4.00,22.00,4.50,0.01,21.00,12.50,Beras merah,Amandelen,Mandel,Mandler,Mandler,Badam,M,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
178,NULL,Cashewkerne,Cashew nuts,Castanha,Anacardos,553,0,7,40.00,7.80,30.00,5.90,0.03,18.00,3.30,Beras ketan,Cashewnoten,Cashewnötter,Cashewnødder,Cashewnøtter,Kacang gajus,PL,-,M,F,-,-,PL,EN,EN,EN,0,1,0,0
179,NULL,Datteln,Dates,Tâmaras,Dátiles,283,0,4,0.50,0.10,75.00,63.00,0.10,2.50,8.00,Tepung beras,Dadels,Dadlar,Dadler,Dadler,Kurma,M,-,PL,F,-,-,DE,EN,EN,EN,0,1,0,0
180,NULL,Erdnussbutter,Peanut butter,Manteiga de amendoim,Mantequilla de cacahuete,590,6,7,50.00,10.00,16.00,6.00,0.60,25.00,6.00,Tepung tapioka,Pindakaas,Jordnötssmör,Jordnøddesmør,Peanøttsmør,Mentega kacang,F,-,M,M,-,-,DE,EN,EN,EN,0,1,0,1
181,🫘,Rote Linsen,Red lentils,Lentilhas vermelhas,Lentejas rojas,335,0,9,1.50,0.20,50.00,1.50,0.10,26.00,18.00,Tepung jagung,Rode linzen,Röda linser,Røde linser,Røde linser,Lenti merah,PL,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
182,NULL,Gnocchi,Gnocchi,Nhoque,Ñoquis,160,0,8,0.50,0.10,36.00,0.50,1.00,3.50,2.20,Tepung kentang,Gnocchi,Gnocchi,Gnocchi,Gnocchi,Gnocchi,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
183,NULL,Hirse,Millet,Painço,Mijo,360,0,8,4.00,0.70,69.00,1.50,0.01,11.00,4.00,Tepung almond,Gierst,Hirs,Hirse,Hirse,Sekoi,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
184,NULL,Rosinen,Raisins,Uvas passas,Uvas pasas,350,0,4,0.50,0.10,69.00,65.00,0.05,2.50,4.00,Tepung chickpea,Rozijnen,Russin,Rosiner,Rosiner,Kismis,M,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
185,NULL,"Grünkohl ",Kale,Couve kale,Col rizada,43,700,2,0.90,0.10,4.00,2.10,0.05,4.30,4.20,Tepung buckwheat,Boerenkool,Grönkål,Grønkål,Grønnkål,Kale,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
186,NULL,Reisnudeln,Rice noodles,Massa de arroz,Fideos de arroz,360,0,8,0.80,0.30,82.00,0.20,0.05,6.00,1.00,Buckwheat,Rijstnoedels,Risnudlar,Risnudler,Risnudler,Mi beras,PL,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
187,NULL,"Sauerkraut ",Pickled cabbage,Chucrute,Chucrute,20,0,2,0.20,0.20,1.10,0.50,1.50,1.20,2.50,Roti lapis,Zuurkool,Surkål,Surkål,Surkål,Sauerkraut,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
