======================================================================
FEHLENDE ZUTATEN – Noch nicht in IngredientsAndNutrients (neues System)
Stand: 2026-02-17 | Basierend auf: recipe_schema_export_20260216_221020.json
Gesamt fehlend: 571 | Bereits vorhanden: 108 | Total: 679
======================================================================

Sortiert nach Verwendungshaeufigkeit in Rezepten (absteigend)
Format: [Anzahl Rezepte] Name  (alte ID)

HOCH PRIORISIERT – 37 Zutaten (>= 30 Rezepte)
--------------------------------------------------
  [ 351x]  Öl                                             (ID=48)
  [ 267x]  Paprikapulver (edelsüß)                        (ID=522)
  [ 150x]  Kreuzkümmel                                    (ID=78)
  [ 136x]  Hähnchenbrustfilets                            (ID=794)
  [ 123x]  Tomaten (gehackt, aus der Dose, 400g.)         (ID=498)
  [ 120x]  Backpulver                                     (ID=65)
  [ 117x]  Koriander                                      (ID=77)
  [   1x]  Lebkuchengewürz                                (ID=1184)
  [   1x]  Rinderbäckchen                                 (ID=1198)
  [   1x]  Ochsenbäckchen                                 (ID=1200)
  [   1x]  Kadaifi                                        (ID=1203)
  [   1x]  Röhrennudeln                                   (ID=1204)
  [   1x]  Kabeljaufilets                                 (ID=1206)
  [   1x]  Putensteaks                                    (ID=1207)
  [   1x]  Vanillepulver                                  (ID=1210)
  [   1x]  Zanderfilets                                   (ID=1211)
  [   1x]  Vanillesoße                                    (ID=1212)
  [   1x]  Grüne Linsen                                   (ID=1213)
  [   1x]  Jakobsmuscheln                                 (ID=1214)
  [   1x]  Mozzarella gerieben                            (ID=900)
  [   1x]  Balsamico-Creme                                (ID=1219)
  [   1x]  Lebkuchen                                      (ID=767)
  [   1x]  Gewürznelken                                   (ID=1223)
  [   1x]  Staudensellerie                                (ID=1224)
  [   1x]  Gans                                           (ID=1225)
  [   1x]  Feldsalat                                      (ID=1227)
  [   1x]  Rigatoni                                       (ID=1229)
  [   1x]  Sonnenblumenkerne                              (ID=1233)
  [   1x]  Vollkorntoast                                  (ID=1235)
  [   1x]  Putenbrust                                     (ID=1236)
  [   1x]  Rahm                                           (ID=1237)
  [   1x]  Schweinerücken                                 (ID=1238)
  [   1x]  Rapsöl                                         (ID=1239)

======================================================================
BEREITS IM NEUEN SYSTEM (haben Schritt-Mappings)
--------------------------------------------------
  [1247x]  Salz                                           (ID=17)
  [1013x]  Pfeffer                                        (ID=18)
  [ 754x]  Zwiebeln                                       (ID=12)
  [ 706x]  Knoblauchzehen                                 (ID=434)
  [ 584x]  Olivenöl                                       (ID=11)
  [ 348x]  Mehl                                           (ID=5)
  [ 303x]  Butter                                         (ID=30)
  [ 284x]  Eier                                           (ID=111)
  [ 256x]  Karotten                                       (ID=20)
  [ 254x]  Zucker                                         (ID=4)
  [ 200x]  Sahne                                          (ID=259)
  [ 189x]  Petersilie                                     (ID=22)
  [ 179x]  Gemüsebrühe                                    (ID=158)
  [ 159x]  Wasser                                         (ID=83)
  [ 153x]  Kartoffeln                                     (ID=24)
  [ 148x]  Milch                                          (ID=38)
  [ 143x]  Zucchini                                       (ID=115)
  [ 140x]  Muskatnuss                                     (ID=151)
  [ 136x]  Paprika                                        (ID=114)
  [ 123x]  Tomatenmark                                    (ID=14)
  [ 120x]  Tomaten                                        (ID=57)
  [ 111x]  Zitronensaft                                   (ID=10)
  [ 111x]  Basilikum                                      (ID=9)
  [ 108x]  Oregano                                        (ID=97)
  [  98x]  Parmesan                                       (ID=112)
  [  95x]  Spinat                                         (ID=172)
  [  94x]  Kräuter                                        (ID=195)
  [  89x]  Honig                                          (ID=21)
  [  84x]  Reis                                           (ID=160)
  [  76x]  Käse                                           (ID=142)
  [  74x]  Kokosmilch                                     (ID=73)
  [  66x]  Rotwein                                        (ID=96)
  [  66x]  Sellerie                                       (ID=154)
  [  64x]  Semmelbrösel                                   (ID=39)
  [  64x]  Sojasauce                                      (ID=116)
  [  60x]  Zitronen                                       (ID=634)
  [  59x]  Brühe                                          (ID=261)
  [  54x]  Gurke                                          (ID=100)
  [  52x]  Weißwein                                       (ID=31)
  [  52x]  Salat                                          (ID=1)
  [  52x]  Lasagneblätter                                 (ID=149)
  [  49x]  Brokkoli                                       (ID=87)
  [  46x]  Pasta                                          (ID=113)
  [  46x]  Ingwer                                         (ID=156)
  [  46x]  Lorbeerblätter                                 (ID=13)
  [  42x]  Kichererbsen                                   (ID=68)
  [  41x]  Limettensaft                                   (ID=421)
  [  40x]  Joghurt                                        (ID=84)
  [  39x]  Tortillas                                      (ID=203)
  [  38x]  Puderzucker                                    (ID=400)
  [  37x]  Champignons                                    (ID=165)
  [  37x]  Apfel                                          (ID=27)
  [  37x]  Mozzarella                                     (ID=290)
  [  35x]  Pilze                                          (ID=137)
  [  29x]  Aubergine                                      (ID=164)
  [  29x]  Salsa                                          (ID=204)
  [  29x]  Frischkäse                                     (ID=440)
  [  26x]  Sojasoße                                       (ID=270)
  [  25x]  Thymian                                        (ID=90)
  [  25x]  Limette                                        (ID=458)
  [  24x]  Essig                                          (ID=118)
  [  23x]  Zitronenschale                                 (ID=220)
  [  22x]  Blumenkohl                                     (ID=208)
  [  21x]  Hokkaido                                       (ID=29)
  [  19x]  Bananen                                        (ID=59)
  [  18x]  Lorbeerblatt                                   (ID=240)
  [  18x]  Schweinebauch                                  (ID=267)
  [  17x]  Tofu                                           (ID=236)
  [  16x]  Ricotta                                        (ID=439)
  [  15x]  Stärke                                         (ID=715)
  [  15x]  Garnelen                                       (ID=8)
  [  15x]  Hähnchen                                       (ID=26)
  [  13x]  Kürbis                                         (ID=216)
  [  13x]  Mandeln                                        (ID=363)
  [  12x]  Rote Zwiebel                                   (ID=102)
  [  11x]  Bohnen                                         (ID=170)
  [  11x]  Speisestärke                                   (ID=193)
  [  11x]  Pinienkerne                                    (ID=199)
  [  11x]  Orangensaft                                    (ID=222)
  [  11x]  Süßkartoffel                                   (ID=244)
  [  10x]  Frühlingszwiebeln                              (ID=56)
  [   8x]  Chili                                          (ID=232)
  [   8x]  Schokolade                                     (ID=309)
  [   8x]  Nüsse                                          (ID=352)
  [   7x]  Pfefferkörner                                  (ID=276)
  [   6x]  Selleriestangen                                (ID=696)
  [   5x]  Ananas                                         (ID=136)
  [   5x]  Rote Bete                                      (ID=205)
  [   5x]  Lauch                                          (ID=229)
  [   5x]  Radieschen                                     (ID=473)
  [   4x]  Limetten                                       (ID=58)
  [   4x]  Salz und Pfeffer                               (ID=99)
  [   4x]  Rucola                                         (ID=207)
  [   4x]  Birnen                                         (ID=445)
  [   4x]  Getrocknete Tomaten                            (ID=588)
  [   4x]  Pesto                                          (ID=593)
  [   3x]  Hefeflocken                                    (ID=592)
  [   2x]  Polenta                                        (ID=200)
  [   2x]  Orangenschale                                  (ID=361)
  [   2x]  Gewürze                                        (ID=461)
  [   2x]  Kohl                                           (ID=635)
  [   1x]  Brot                                           (ID=198)
  [   1x]  Kohlrabi                                       (ID=252)
  [   1x]  Fisch                                          (ID=410)
  [   1x]  Spargel                                        (ID=685)
  [   1x]  Crème fraîche                                  (ID=782)
  [   1x]  Zitronenabrieb                                 (ID=1216)
  [   1x]  Knoblauchzehe                                  (ID=1241)
